epoch,accuracy,precision,recall,f1
1,0.8588333333333333,0.09494773519163763,0.04434499593165175,0.06045479755962284
2,0.8587916666666666,0.10650887573964497,0.05126118795768918,0.06921175501235924
3,0.84875,0.10405405405405406,0.06265256305939788,0.0782122905027933
4,0.8322083333333333,0.10238215914850482,0.0821806346623271,0.09117580681561725
5,0.8069166666666666,0.10349854227405247,0.11554109031733116,0.10918877354863514
6,0.8175,0.10354785478547855,0.10211554109031733,0.10282671036460468
7,0.8041666666666667,0.10106761565836299,0.11554109031733116,0.10782080485952923
8,0.80775,0.1022140221402214,0.11269324654190399,0.1071981424148607
9,0.7980833333333334,0.10093582887700535,0.12286411716842961,0.1108256880733945
10,0.7905,0.10167389956602604,0.13344182262001628,0.11541168191414498
11,0.7889166666666667,0.10195360195360195,0.13588283157038242,0.11649808161841646
12,0.7772083333333333,0.1012972674579078,0.14930838079739625,0.12070383160664364
13,0.7702916666666667,0.10127903941529627,0.15785191212367777,0.1233900461122595
14,0.7657083333333333,0.09967113584619276,0.16029292107404394,0.1229137420059273
15,0.76275,0.09831181727904667,0.161106590724166,0.122109158186864
16,0.7523333333333333,0.09783110290724505,0.1724979658258747,0.12485276796230861
17,0.7419583333333334,0.10257501596084273,0.19609438567941415,0.13469330725164175
18,0.731,0.1002,0.20382424735557364,0.13435237329042637
19,0.7292916666666667,0.10191208357973586,0.21033360455655004,0.13729916345770812
20,0.7232083333333333,0.10180780209324453,0.2176566314076485,0.1387268248411772
