epoch,accuracy,precision,recall,f1
1,0.8377083333333334,0.10972297664312873,0.0821806346623271,0.09397534310304723
2,0.8444583333333333,0.1134020618556701,0.07607811228641172,0.09106403700998296
3,0.8308333333333333,0.10964912280701754,0.09153783563873068,0.09977827050997781
4,0.8496666666666667,0.11564171122994653,0.07038242473555736,0.08750632271117856
5,0.8403333333333334,0.11098527746319366,0.07973962571196094,0.0928030303030303
6,0.8430833333333333,0.11529411764705882,0.07973962571196094,0.09427609427609428
7,0.829,0.11325187969924812,0.09804719283970707,0.10510248582642825
8,0.8226666666666667,0.11646757679180887,0.11106590724165989,0.11370262390670555
9,0.816,0.11426319936958235,0.11798209926769732,0.11609287429943956
10,0.8105416666666667,0.11386321626617375,0.12530512611879577,0.11931047840402866
11,0.806625,0.1158042942625836,0.1338486574450773,0.12417437252311755
12,0.795,0.11264946507237256,0.14564686737184704,0.1270404542228531
13,0.7905833333333333,0.11020036429872496,0.14768104149715217,0.12621696801112656
14,0.782,0.11104879416713405,0.161106590724166,0.1314741035856574
15,0.780375,0.11178581286226884,0.1647681041497152,0.1332017760236803
16,0.7738333333333334,0.10776545166402536,0.16598860862489828,0.13068545803971812
17,0.769375,0.10742536361316662,0.1712774613506916,0.132037007997491
18,0.76075,0.10923369823893384,0.18673718470301057,0.13783783783783782
19,0.7499583333333333,0.10850828729281768,0.19975589910496339,0.14062723757697265
20,0.747375,0.10755497496189854,0.20097640358014646,0.14012196851510425
