epoch,accuracy,precision,recall,f1
1,0.6675,0.09752186588921283,0.2721724979658259,0.14359304571796522
2,0.6657916666666667,0.09600580973129992,0.26891781936533765,0.14149630739591137
3,0.6662083333333333,0.0963802878325338,0.26973148901545974,0.142015636714148
4,0.666875,0.09683995922528033,0.27054515866558176,0.142627345844504
5,0.66425,0.09654178674351585,0.2725793327908869,0.1425835284103001
6,0.6704166666666667,0.09626777251184834,0.2644426362896664,0.1411509229098806
7,0.6699166666666667,0.09657412876550502,0.2660699755899105,0.1417118093174431
8,0.670125,0.0962875314302618,0.2648494711147274,0.14123006833712984
9,0.6713333333333333,0.09706144256455922,0.2660699755899105,0.14223575467594607
10,0.668375,0.09640498899486427,0.2672904800650936,0.1417017146554513
11,0.6687083333333333,0.097228332600088,0.26973148901545974,0.1429341381912256
12,0.665875,0.0963855421686747,0.2701383238405207,0.14207767198031457
13,0.6669166666666667,0.09673659673659674,0.2701383238405207,0.14245869984981763
14,0.6732083333333333,0.09699146834306241,0.2636289666395443,0.1418098260203523
15,0.6707083333333334,0.09672641090208858,0.2656631407648495,0.14181778694755132
16,0.6658333333333334,0.09683966367062917,0.27176566314076483,0.14279606669516887
17,0.6670416666666666,0.09771702777373854,0.27339300244100895,0.14397429030530262
18,0.664375,0.09623430962343096,0.27135882831570385,0.1420811588028544
19,0.6625416666666667,0.09597478871221889,0.2725793327908869,0.1419641911219409
20,0.663875,0.09769043178883947,0.27705451586655816,0.1444479796372892
