trip_id,driver_id,avg_risk_score,risk_level
90617,102,0.9955139756202698,HIGH
26050,102,0.9999992847442627,HIGH
41164,105,0.9994410872459412,HIGH
65658,102,0.8061025142669678,HIGH
90615,102,0.9990143775939941,HIGH
89102,105,0.9978047013282776,HIGH
119378,101,0.9999994039535522,HIGH
119379,101,0.9207311868667603,HIGH
90612,102,0.8963690400123596,HIGH
119376,101,1.0,HIGH
119380,101,0.9804596900939941,HIGH
119381,101,0.9631862640380859,HIGH
80772,105,0.9999901056289673,HIGH
80773,105,0.9999963045120239,HIGH
65653,102,0.9861344695091248,HIGH
26046,102,0.8872449994087219,HIGH
26047,102,0.9999970197677612,HIGH
26048,102,0.7459267973899841,HIGH
26044,102,0.9999961853027344,HIGH
16193,105,0.9761619567871094,HIGH
16195,105,0.9999173879623413,HIGH
31958,104,0.9999966621398926,HIGH
65647,102,1.0,HIGH
41176,105,0.9995928406715393,HIGH
65649,102,0.9999998807907104,HIGH
31954,104,0.977320671081543,HIGH
90620,102,0.999998927116394,HIGH
89113,105,0.9903044104576111,HIGH
119367,101,0.9391095042228699,HIGH
51002,102,0.9999895095825195,HIGH
90622,102,0.999992847442627,HIGH
51003,102,0.9999275207519531,HIGH
51004,102,1.0,HIGH
119362,101,0.9772078394889832,HIGH
51009,102,0.9999972581863403,HIGH
119371,101,0.9986610412597656,HIGH
119372,101,1.0,HIGH
51005,102,0.9117817282676697,HIGH
51008,102,1.0,HIGH
65642,102,0.9999973773956299,HIGH
80788,105,0.988024890422821,HIGH
26031,102,0.9999526739120483,HIGH
26033,102,0.8513094186782837,HIGH
16182,105,0.9483757019042969,HIGH
26071,102,0.7793999314308167,HIGH
31968,104,0.9999998807907104,HIGH
31969,104,0.9999864101409912,HIGH
65635,102,0.999998927116394,HIGH
31962,104,0.9987871050834656,HIGH
65637,102,0.9694527983665466,HIGH
16188,105,1.0,HIGH
90638,102,0.9998970031738281,HIGH
119355,101,1.0,HIGH
119356,101,0.9612014889717102,HIGH
119357,101,0.981007993221283,HIGH
119351,101,0.9987080097198486,HIGH
119353,101,1.0,HIGH
119354,101,1.0,HIGH
90630,102,0.7683430314064026,HIGH
119360,101,0.999954342842102,HIGH
65631,102,0.9963255524635315,HIGH
26069,102,0.999446451663971,HIGH
65634,102,0.9999840259552002,HIGH
31961,104,1.0,HIGH
89492,103,0.8973884582519531,HIGH
26063,102,0.9999990463256836,HIGH
89495,103,0.9932796359062195,HIGH
65629,102,0.9963501691818237,HIGH
41194,105,0.9999966621398926,HIGH
26062,102,1.0,HIGH
16174,105,0.9894692897796631,HIGH
119348,101,0.9603602886199951,HIGH
90646,102,0.999815046787262,HIGH
65624,102,0.8840793371200562,HIGH
16175,105,0.9999996423721313,HIGH
119349,101,0.9999876022338867,HIGH
119347,101,0.9999433755874634,HIGH
90645,102,0.9999990463256836,HIGH
119340,101,0.9998838901519775,HIGH
65620,102,0.720812201499939,HIGH
31971,104,0.9995946288108826,HIGH
80769,105,0.9999998807907104,HIGH
26053,102,0.9996432065963745,HIGH
65617,102,0.1180405393242836,LOW
65618,102,0.9999969005584717,HIGH
119339,101,0.9999980926513672,HIGH
119333,101,0.9390887022018433,HIGH
119334,101,0.9998960494995117,HIGH
119335,101,0.9927639365196228,HIGH
90655,102,0.9946262240409851,HIGH
119336,101,0.4282970130443573,MEDIUM
119330,101,0.9999889135360718,HIGH
90650,102,0.8242567181587219,HIGH
119332,101,0.9935508966445923,HIGH
90652,102,0.9999997615814209,HIGH
89479,103,0.9992955923080444,HIGH
26008,102,0.9998807907104492,HIGH
65610,102,0.9713351726531982,HIGH
80734,105,0.9999992847442627,HIGH
80736,105,1.0,HIGH
89472,103,0.9898431897163391,HIGH
80739,105,0.9990611672401428,HIGH
31911,104,1.0,HIGH
31912,104,0.9718719720840454,HIGH
65609,102,0.9928182363510132,HIGH
41131,105,1.0,HIGH
110993,101,0.8597206473350525,HIGH
65603,102,0.9989339709281921,HIGH
119328,101,0.9318754076957703,HIGH
110994,101,0.9757855534553528,HIGH
65604,102,0.9121342897415161,HIGH
55776,105,0.3066853880882263,LOW
119321,101,0.9906100630760193,HIGH
90663,102,0.8014003038406372,HIGH
55770,105,0.9998776912689209,HIGH
110996,101,0.9989466071128845,HIGH
110997,101,0.34070494771003723,LOW
110998,101,0.9991336464881897,HIGH
65600,102,0.9990843534469604,HIGH
65601,102,0.9733598828315735,HIGH
110980,101,0.9999969005584717,HIGH
119315,101,0.9999942779541016,HIGH
110983,101,0.9798822402954102,HIGH
119318,101,0.9999864101409912,HIGH
110984,101,0.994167685508728,HIGH
77806,101,0.9999884366989136,HIGH
119312,101,0.9719603657722473,HIGH
90676,102,0.9999316930770874,HIGH
77807,101,0.9913201928138733,HIGH
99015,102,0.9998880624771118,HIGH
77809,101,0.9993732571601868,HIGH
77802,101,0.9994744658470154,HIGH
90672,102,0.9966638684272766,HIGH
77803,101,0.999832034111023,HIGH
119310,101,0.9999562501907349,HIGH
77801,101,1.0,HIGH
110986,101,0.9730207920074463,HIGH
80711,105,0.9300087094306946,HIGH
110987,101,0.765698254108429,HIGH
