epoch,loss
1,0.2506484389305115
2,0.24926021695137024
3,0.24944159388542175
4,0.24945314228534698
5,0.24975377321243286
6,0.24816781282424927
7,0.2480746954679489
8,0.2479190230369568
9,0.24815428256988525
10,0.24799394607543945
1,1.636597752571106
2,1.644588589668274
3,1.6451324224472046
4,1.6428883075714111
5,1.6408414840698242
6,1.646006464958191
7,1.6436607837677002
8,1.645508050918579
9,1.6406022310256958
10,1.6412241458892822
1,1.6566107273101807
2,1.6515476703643799
3,1.6554206609725952
4,1.6570967435836792
5,1.6595542430877686
6,1.6589105129241943
7,1.6600755453109741
8,1.6532151699066162
9,1.6518571376800537
10,1.6481645107269287
